year,region,province,acc with victims,total injuried,mortals,hosp injuries,minor injuries
2013,Andalucía,Almería,788,1321,30,121,1170
2014,Andalucía,Almería,691,1096,19,94,983
2015,Andalucía,Almería,733,1195,26,111,1058
2016,Andalucía,Almería,713,1175,40,108,1027
2017,Andalucía,Almería,1190,1904,22,137,1745
2018,Andalucía,Almería,1194,1918,27,111,1780
2019,Andalucía,Almería,1092,1647,35,109,1503
2020,Andalucía,Almería,861,1242,38,92,1112
2021,Andalucía,Almería,696,1082,34,80,968
2022,Andalucía,Almería,1205,1719,41,119,1559
2013,Andalucía,Cádiz,2318,3576,37,217,3322
2014,Andalucía,Cádiz,2709,4217,41,202,3974
2015,Andalucía,Cádiz,3080,4705,32,229,4444
2016,Andalucía,Cádiz,2757,4194,41,211,3942
2017,Andalucía,Cádiz,2869,4207,34,224,3949
2018,Andalucía,Cádiz,2556,3718,36,206,3476
2019,Andalucía,Cádiz,2765,3947,36,226,3685
2020,Andalucía,Cádiz,2125,3032,22,203,2807
2021,Andalucía,Cádiz,2463,3482,41,199,3242
2022,Andalucía,Cádiz,2629,3679,40,204,3435
2013,Andalucía,Córdoba,1323,1915,36,199,1680
2014,Andalucía,Córdoba,1418,1997,37,151,1809
2015,Andalucía,Córdoba,1491,2069,26,118,1925
2016,Andalucía,Córdoba,1359,1961,22,151,1788
2017,Andalucía,Córdoba,1170,1641,37,115,1489
2018,Andalucía,Córdoba,1077,1576,34,122,1420
2019,Andalucía,Córdoba,1142,1610,38,156,1416
2020,Andalucía,Córdoba,809,1089,14,121,954
2021,Andalucía,Córdoba,993,1401,30,141,1230
2022,Andalucía,Córdoba,927,1314,36,131,1147
2013,Andalucía,Granada,1820,2697,33,219,2445
2014,Andalucía,Granada,1421,2186,49,181,1956
2015,Andalucía,Granada,1251,1874,43,172,1659
2016,Andalucía,Granada,1931,2814,27,196,2591
2017,Andalucía,Granada,1839,2636,33,169,2434
2018,Andalucía,Granada,1692,2420,31,137,2252
2019,Andalucía,Granada,1783,2513,25,131,2357
2020,Andalucía,Granada,1126,1510,35,108,1367
2021,Andalucía,Granada,1416,1977,38,108,1831
2022,Andalucía,Granada,1510,2071,38,128,1905
2013,Andalucía,Huelva,551,898,26,70,802
2014,Andalucía,Huelva,624,962,19,67,876
2015,Andalucía,Huelva,721,1157,23,80,1054
2016,Andalucía,Huelva,644,1006,19,92,895
2017,Andalucía,Huelva,763,1256,22,116,1118
2018,Andalucía,Huelva,718,1156,18,128,1010
2019,Andalucía,Huelva,752,1147,22,81,1044
2020,Andalucía,Huelva,509,772,23,70,679
2021,Andalucía,Huelva,698,1027,31,69,927
2022,Andalucía,Huelva,685,1024,24,65,935
2013,Andalucía,Jaén,816,1217,24,114,1079
2014,Andalucía,Jaén,1062,1612,30,119,1463
2015,Andalucía,Jaén,1023,1564,23,92,1449
