year,region,province,95,98,A,B
2013,Andalucía,Almería,152,107,162,66
2013,Andalucía,Cádiz,178,143,190,49
2013,Andalucía,Córdoba,162,97,207,128
2013,Andalucía,Granada,211,164,226,77
2013,Andalucía,Huelva,106,66,120,53
2013,Andalucía,Jaén,170,98,192,132
2013,Andalucía,Málaga,249,196,261,61
2013,Andalucía,Sevilla,320,204,360,120
2013,Aragón,Huesca,104,66,111,63
2013,Aragón,Teruel,54,37,70,83
2013,Aragón,Zaragoza,198,134,221,120
2013,Asturias,Asturias,195,159,210,68
2013,Islas Baleares,Baleares,170,145,170,37
2013,Canarias,"Palmas, Las",203,202,204,0
2013,Canarias,"Tenerife, S.C.",206,204,207,0
2013,Cantabria,Cantabria,125,96,130,30
2013,Castilla-La Mancha,Albacete,121,94,144,65
2013,Castilla-La Mancha,Ciudad Real,153,106,180,107
2013,Castilla-La Mancha,Cuenca,101,57,139,81
2013,Castilla-La Mancha,Guadalajara,68,54,71,19
2013,Castilla-La Mancha,Toledo,206,149,266,145
2013,Castilla y León,Burgos,114,84,120,41
2013,Castilla y León,León,142,106,150,38
2013,Castilla y León,Palencia,54,42,57,25
2013,Castilla y León,Salamanca,88,68,95,37
2013,Castilla y León,Segovia,63,44,64,31
2013,Castilla y León,Soria,35,24,35,13
2013,Castilla y León,Valladolid,111,83,121,39
2013,Castilla y León,Zamora,68,52,74,33
2013,Castilla y León,Ávila,53,40,55,20
2013,Cataluña,Barcelona,663,556,674,47
2013,Cataluña,Gerona,211,173,217,35
2013,Cataluña,Lérida,165,110,183,74
2013,Cataluña,Tarragona,191,153,208,56
2013,Ceuta,Ceuta,9,9,9,0
2013,C. Valenciana,Alicante,340,293,344,72
2013,C. Valenciana,Castellón,156,111,157,62
2013,C. Valenciana,Valencia,505,383,519,153
2013,Extremadura,Badajoz,192,100,220,121
2013,Extremadura,Cáceres,104,56,108,52
2013,Galicia,"Coruña, A",223,186,225,93
2013,Galicia,Lugo,106,77,111,67
2013,Galicia,Orense,93,81,95,38
2013,Galicia,Pontevedra,163,143,168,28
2013,Madrid,Madrid,581,506,585,33
2013,Melilla,Melilla,13,0,13,0
2013,Murcia,Murcia,330,280,359,131
2013,Navarra,Navarra,186,101,220,110
2013,País Vasco,Guipúzcoa,110,95,120,25
2013,País Vasco,Vizcaya,108,94,105,18
2013,País Vasco,Álava,51,43,56,14
2013,La Rioja,"Rioja, La",64,49,74,37
2014,Andalucía,Almería,4,105,174,66
2014,Andalucía,Cádiz,3,143,212,49
2014,Andalucía,Córdoba,5,98,217,129
2014,Andalucía,Granada,8,168,257,73
2014,Andalucía,Huelva,3,70,126,51
2014,Andalucía,Jaén,6,95,216,147
2014,Andalucía,Málaga,5,202,268,61
2014,Andalucía,Sevilla,6,195,372,114
2014,Aragón,Huesca,1,64,113,64
2014,Aragón,Teruel,2,38,76,83
2014,Aragón,Zaragoza,2,132,234,123
2014,Asturias,Asturias,2,158,215,70
2014,Islas Baleares,Baleares,2,145,171,38
2014,Canarias,"Palmas, Las",0,206,210,0
2014,Canarias,"Tenerife, S.C.",2,208,212,0
2014,Cantabria,Cantabria,0,97,132,34
2014,Castilla-La Mancha,Albacete,0,94,150,67
2014,Castilla-La Mancha,Ciudad Real,1,103,185,108
2014,Castilla-La Mancha,Cuenca,1,51,140,86
2014,Castilla-La Mancha,Guadalajara,0,56,77,17
2014,Castilla-La Mancha,Toledo,2,154,278,140
2014,Castilla y León,Burgos,1,83,123,41
2014,Castilla y León,León,3,101,150,34
2014,Castilla y León,Palencia,0,41,60,24
2014,Castilla y León,Salamanca,1,64,95,31
2014,Castilla y León,Segovia,2,42,63,26
2014,Castilla y León,Soria,0,25,38,13
2014,Castilla y León,Valladolid,2,85,125,40
2014,Castilla y León,Zamora,0,55,77,31
2014,Castilla y León,Ávila,0,43,61,19
2014,Cataluña,Barcelona,20,546,711,42
2014,Cataluña,Gerona,1,173,221,35
2014,Cataluña,Lérida,3,104,190,73
2014,Cataluña,Tarragona,2,148,218,61
2014,Ceuta,Ceuta,0,9,9,0
2014,C. Valenciana,Alicante,3,293,361,75
2014,C. Valenciana,Castellón,0,105,169,61
2014,C. Valenciana,Valencia,13,371,567,147
2014,Extremadura,Badajoz,3,89,221,114
2014,Extremadura,Cáceres,1,55,116,52
2014,Galicia,"Coruña, A",3,195,245,99
