year,region,province,population
2013,País Vasco,Álava,202969
2013,Castilla-La Mancha,Albacete,246555
2013,C. Valenciana,Alicante,1194721
2013,Andalucía,Almería,448850
2013,Castilla y León,Ávila,99333
2013,Extremadura,Badajoz,426061
2013,Islas Baleares,Baleares,725342
2013,Cataluña,Barcelona,3463167
2013,Castilla y León,Burgos,227824
2013,Extremadura,Cáceres,248617
2013,Andalucía,Cádiz,786918
2013,C. Valenciana,Castellón,379331
2013,Castilla-La Mancha,Ciudad Real,321789
2013,Andalucía,Córdoba,491768
2013,Galicia,"Coruña, A",703068
2013,Castilla-La Mancha,Cuenca,126794
2013,Cataluña,Gerona,475742
2013,Andalucía,Granada,572911
2013,Castilla-La Mancha,Guadalajara,163758
2013,País Vasco,Guipúzcoa,435982
2013,Andalucía,Huelva,331489
2013,Aragón,Huesca,137203
2013,Andalucía,Jaén,405207
2013,Castilla y León,León,295321
2013,Cataluña,Lérida,273926
2013,La Rioja,"Rioja, La",198717
2013,Galicia,Lugo,202791
2013,Madrid,Madrid,4169259
2013,Andalucía,Málaga,1038287
2013,Murcia,Murcia,919532
2013,Navarra,Navarra,396781
2013,Galicia,Orense,186540
2013,Asturias,Asturias,668373
2013,Castilla y León,Palencia,103626
2013,Canarias,"Palmas, Las",737713
2013,Galicia,Pontevedra,598275
2013,Castilla y León,Salamanca,204996
2013,Canarias,"Tenerife, S.C.",663674
2013,Cantabria,Cantabria,374149
2013,Castilla y León,Segovia,97806
2013,Andalucía,Sevilla,1218610
2013,Castilla y León,Soria,54404
2013,Cataluña,Tarragona,504505
2013,Aragón,Teruel,83921
2013,Castilla-La Mancha,Toledo,437369
2013,C. Valenciana,Valencia,1620455
2013,Castilla y León,Valladolid,333478
2013,País Vasco,Vizcaya,719668
2013,Castilla y León,Zamora,108167
2013,Aragón,Zaragoza,607653
2013,Ceuta,Ceuta,52354
2013,Melilla,Melilla,51220
2014,País Vasco,Álava,200971
2014,Castilla-La Mancha,Albacete,243938
2014,C. Valenciana,Alicante,1148660
2014,Andalucía,Almería,448508
2014,Castilla y León,Ávila,97876
2014,Extremadura,Badajoz,424081
2014,Islas Baleares,Baleares,716439
2014,Cataluña,Barcelona,3423132
2014,Castilla y León,Burgos,223226
2014,Extremadura,Cáceres,247866
2014,Andalucía,Cádiz,784751
2014,C. Valenciana,Castellón,366427
2014,Castilla-La Mancha,Ciudad Real,317872
2014,Andalucía,Córdoba,489061
2014,Galicia,"Coruña, A",694134
2014,Castilla-La Mancha,Cuenca,123542
2014,Cataluña,Gerona,468558
2014,Andalucía,Granada,571443
2014,Castilla-La Mancha,Guadalajara,161158
2014,País Vasco,Guipúzcoa,432564
2014,Andalucía,Huelva,329178
2014,Aragón,Huesca,135412
2014,Andalucía,Jaén,401869
2014,Castilla y León,León,290792
2014,Cataluña,Lérida,270435
2014,La Rioja,"Rioja, La",195155
2014,Galicia,Lugo,200419
2014,Madrid,Madrid,4102512
2014,Andalucía,Málaga,1016717
2014,Murcia,Murcia,912621
2014,Navarra,Navarra,390698
2014,Galicia,Orense,183075
2014,Asturias,Asturias,658557
2014,Castilla y León,Palencia,102229
2014,Canarias,"Palmas, Las",734032
2014,Galicia,Pontevedra,591402
2014,Castilla y León,Salamanca,202267
2014,Canarias,"Tenerife, S.C.",657816
2014,Cantabria,Cantabria,368900
2014,Castilla y León,Segovia,95928
2014,Andalucía,Sevilla,1213002
2014,Castilla y León,Soria,53746
2014,Cataluña,Tarragona,494118
2014,Aragón,Teruel,82662
2014,Castilla-La Mancha,Toledo,430368
2014,C. Valenciana,Valencia,1596634
2014,Castilla y León,Valladolid,327804
2014,País Vasco,Vizcaya,709424
2014,Castilla y León,Zamora,106017
2014,Aragón,Zaragoza,589017
2014,Ceuta,Ceuta,52818
2014,Melilla,Melilla,51385
2015,País Vasco,Álava,199636
2015,Castilla-La Mancha,Albacete,242197
2015,C. Valenciana,Alicante,1134954
2015,Andalucía,Almería,446289
2015,Castilla y León,Ávila,96264
2015,Extremadura,Badajoz,421368
2015,Islas Baleares,Baleares,714558
2015,Cataluña,Barcelona,3401265
2015,Castilla y León,Burgos,219913
2015,Extremadura,Cáceres,246240
2015,Andalucía,Cádiz,782125
2015,C. Valenciana,Castellón,360284
2015,Castilla-La Mancha,Ciudad Real,313796
2015,Andalucía,Córdoba,486202
2015,Galicia,"Coruña, A",685245
2015,Castilla-La Mancha,Cuenca,120909
2015,Cataluña,Gerona,464179
2015,Andalucía,Granada,569004
2015,Castilla-La Mancha,Guadalajara,159230
2015,País Vasco,Guipúzcoa,429701
2015,Andalucía,Huelva,328512
2015,Aragón,Huesca,133601
2015,Andalucía,Jaén,399588
2015,Castilla y León,León,286238
2015,Cataluña,Lérida,267927
2015,La Rioja,"Rioja, La",192659
2015,Galicia,Lugo,197617
2015,Madrid,Madrid,4056167
2015,Andalucía,Málaga,1015969
2015,Murcia,Murcia,908711
2015,Navarra,Navarra,387768
2015,Galicia,Orense,179650
2015,Asturias,Asturias,646295
2015,Castilla y León,Palencia,100811
2015,Canarias,"Palmas, Las",731131
2015,Galicia,Pontevedra,584347
2015,Castilla y León,Salamanca,199185
2015,Canarias,"Tenerife, S.C.",654942
2015,Cantabria,Cantabria,363611
2015,Castilla y León,Segovia,94438
2015,Andalucía,Sevilla,1208730
2015,Castilla y León,Soria,52821
2015,Cataluña,Tarragona,486379
2015,Aragón,Teruel,81766
2015,Castilla-La Mancha,Toledo,424448
2015,C. Valenciana,Valencia,1583491
2015,Castilla y León,Valladolid,322517
2015,País Vasco,Vizcaya,701535
2015,Castilla y León,Zamora,104469
2015,Aragón,Zaragoza,582753
2015,Ceuta,Ceuta,52084
2015,Melilla,Melilla,51898
2016,País Vasco,Álava,197815
2016,Castilla-La Mancha,Albacete,240542
2016,C. Valenciana,Alicante,1122022
2016,Andalucía,Almería,447442
2016,Castilla y León,Ávila,94735
2016,Extremadura,Badajoz,420217
2016,Islas Baleares,Baleares,714190
2016,Cataluña,Barcelona,3400438
2016,Castilla y León,Burgos,216550
2016,Extremadura,Cáceres,244630
2016,Andalucía,Cádiz,780083
2016,C. Valenciana,Castellón,356413
2016,Castilla-La Mancha,Ciudad Real,309114
2016,Andalucía,Córdoba,484384
2016,Galicia,"Coruña, A",678109
2016,Castilla-La Mancha,Cuenca,119179
2016,Cataluña,Gerona,462002
2016,Andalucía,Granada,567730
2016,Castilla-La Mancha,Guadalajara,158003
2016,País Vasco,Guipúzcoa,427135
2016,Andalucía,Huelva,327251
2016,Aragón,Huesca,132236
2016,Andalucía,Jaén,397644
2016,Castilla y León,León,281158
2016,Cataluña,Lérida,265869
2016,La Rioja,"Rioja, La",190887
