year,region,province,population
1998,País Vasco,Álava,186185
1998,Castilla-La Mancha,Albacete,207595
1998,C. Valenciana,Alicante,826576
1998,Andalucía,Almería,299675
1998,Castilla y León,Ávila,93767
1998,Extremadura,Badajoz,382000
1998,Islas Baleares,Baleares,494530
1998,Cataluña,Barcelona,2941205
1998,Castilla y León,Burgos,209008
1998,Extremadura,Cáceres,230759
1998,Andalucía,Cádiz,671933
1998,C. Valenciana,Castellón,277755
1998,Castilla-La Mancha,Ciudad Real,271238
1998,Andalucía,Córdoba,446658
1998,Galicia,"Coruña, A",683372
1998,Castilla-La Mancha,Cuenca,110301
1998,Cataluña,Gerona,329927
1998,Andalucía,Granada,471432
1998,Castilla-La Mancha,Guadalajara,91985
1998,País Vasco,Guipúzcoa,437891
1998,Andalucía,Huelva,267780
1998,Aragón,Huesca,118322
1998,Andalucía,Jaén,359958
1998,Castilla y León,León,296166
1998,Cataluña,Lérida,211794
1998,La Rioja,"Rioja, La",160085
1998,Galicia,Lugo,208093
1998,Madrid,Madrid,3256309
1998,Andalucía,Málaga,752644
1998,Murcia,Murcia,662881
1998,Navarra,Navarra,329954
1998,Galicia,Orense,194830
1998,Asturias,Asturias,666446
1998,Castilla y León,Palencia,105038
1998,Canarias,"Palmas, Las",542672
1998,Galicia,Pontevedra,556843
1998,Castilla y León,Salamanca,205706
1998,Canarias,"Tenerife, S.C.",492342
1998,Cantabria,Cantabria,322612
1998,Castilla y León,Segovia,84483
1998,Andalucía,Sevilla,1038907
1998,Castilla y León,Soria,51135
1998,Cataluña,Tarragona,352763
1998,Aragón,Teruel,74808
1998,Castilla-La Mancha,Toledo,295993
1998,C. Valenciana,Valencia,1347776
1998,Castilla y León,Valladolid,312328
1998,País Vasco,Vizcaya,733868
1998,Castilla y León,Zamora,114427
1998,Aragón,Zaragoza,515445
1998,Ceuta,Ceuta,42992
1998,Melilla,Melilla,34765
1999,País Vasco,Álava,187867
1999,Castilla-La Mancha,Albacete,209989
1999,C. Valenciana,Alicante,856333
1999,Andalucía,Almería,306362
1999,Castilla y León,Ávila,93538
1999,Extremadura,Badajoz,381979
1999,Islas Baleares,Baleares,513960
1999,Cataluña,Barcelona,2971795
1999,Castilla y León,Burgos,209928
1999,Extremadura,Cáceres,236101
1999,Andalucía,Cádiz,681488
1999,C. Valenciana,Castellón,283405
1999,Castilla-La Mancha,Ciudad Real,271600
1999,Andalucía,Córdoba,447407
1999,Galicia,"Coruña, A",687417
1999,Castilla-La Mancha,Cuenca,110884
1999,Cataluña,Gerona,337228
1999,Andalucía,Granada,480187
1999,Castilla-La Mancha,Guadalajara,93694
1999,País Vasco,Guipúzcoa,437245
1999,Andalucía,Huelva,272015
1999,Aragón,Huesca,118691
1999,Andalucía,Jaén,369971
1999,Castilla y León,León,296133
1999,Cataluña,Lérida,213584
1999,La Rioja,"Rioja, La",161787
1999,Galicia,Lugo,207769
1999,Madrid,Madrid,3307488
1999,Andalucía,Málaga,768356
1999,Murcia,Murcia,676838
1999,Navarra,Navarra,333877
1999,Galicia,Orense,195652
1999,Asturias,Asturias,670824
1999,Castilla y León,Palencia,105373
1999,Canarias,"Palmas, Las",561178
1999,Galicia,Pontevedra,562855
1999,Castilla y León,Salamanca,206204
1999,Canarias,"Tenerife, S.C.",510710
1999,Cantabria,Cantabria,325350
1999,Castilla y León,Segovia,84558
1999,Andalucía,Sevilla,1052798
1999,Castilla y León,Soria,50883
1999,Cataluña,Tarragona,359059
1999,Aragón,Teruel,74533
1999,Castilla-La Mancha,Toledo,299716
1999,C. Valenciana,Valencia,1365035
1999,Castilla y León,Valladolid,315614
1999,País Vasco,Vizcaya,735952
1999,Castilla y León,Zamora,113879
1999,Aragón,Zaragoza,518920
1999,Ceuta,Ceuta,44419
1999,Melilla,Melilla,33674
2000,País Vasco,Álava,189402
2000,Castilla-La Mancha,Albacete,212501
2000,C. Valenciana,Alicante,883651
2000,Andalucía,Almería,312653
2000,Castilla y León,Ávila,93397
2000,Extremadura,Badajoz,383345
2000,Islas Baleares,Baleares,536089
2000,Cataluña,Barcelona,3011881
2000,Castilla y León,Burgos,210890
2000,Extremadura,Cáceres,236883
2000,Andalucía,Cádiz,693922
2000,C. Valenciana,Castellón,290305
2000,Castilla-La Mancha,Ciudad Real,271599
2000,Andalucía,Córdoba,451508
2000,Galicia,"Coruña, A",691668
2000,Castilla-La Mancha,Cuenca,111166
2000,Cataluña,Gerona,348097
2000,Andalucía,Granada,484368
2000,Castilla-La Mancha,Guadalajara,96838
2000,País Vasco,Guipúzcoa,440028
2000,Andalucía,Huelva,276478
2000,Aragón,Huesca,119446
2000,Andalucía,Jaén,370176
2000,Castilla y León,León,294988
2000,Cataluña,Lérida,216583
2000,La Rioja,"Rioja, La",162429
2000,Galicia,Lugo,207919
2000,Madrid,Madrid,3369275
2000,Andalucía,Málaga,787957
2000,Murcia,Murcia,694147
2000,Navarra,Navarra,340418
2000,Galicia,Orense,196134
2000,Asturias,Asturias,669770
2000,Castilla y León,Palencia,105471
2000,Canarias,"Palmas, Las",584244
2000,Galicia,Pontevedra,570388
2000,Castilla y León,Salamanca,206247
2000,Canarias,"Tenerife, S.C.",527025
2000,Cantabria,Cantabria,330168
2000,Castilla y León,Segovia,84861
2000,Andalucía,Sevilla,1066643
2000,Castilla y León,Soria,50910
2000,Cataluña,Tarragona,368471
