year,region,province,owner,free_motorways,multiple_road,single_road,toll_motorways
2013,Andalucía,Almería,CCAA,"101,57","2,32",0,0
2013,Andalucía,Almería,CCAA,0,0,"713,76",0
2013,Andalucía,Almería,State,"203,50","1,12",0,"28,19"
2013,Andalucía,Almería,State,0,0,"140,06",0
2013,Andalucía,Almería,provincial,0,0,"1.172,88",0
2013,Andalucía,Cádiz,CCAA,"138,09","15,29",0,0
2013,Andalucía,Cádiz,CCAA,0,0,"858,22",0
2013,Andalucía,Cádiz,State,"116,88","35,98",0,"47,80"
2013,Andalucía,Cádiz,State,0,0,"113,45",0
2013,Andalucía,Cádiz,provincial,0,0,"806,68",0
2013,Andalucía,Córdoba,CCAA,"9,97","17,42",0,0
2013,Andalucía,Córdoba,CCAA,0,0,"1.596,96",0
2013,Andalucía,Córdoba,State,"173,62","4,56",0,"0,00"
2013,Andalucía,Córdoba,State,0,0,"417,53",0
2013,Andalucía,Córdoba,provincial,0,0,"1.786,94",0
2013,Andalucía,Granada,CCAA,"235,59","11,72",0,0
2013,Andalucía,Granada,CCAA,0,0,"1.355,36",0
2013,Andalucía,Granada,State,"132,08","0,62",0,"0,00"
2013,Andalucía,Granada,State,0,0,"182,09",0
2013,Andalucía,Granada,provincial,0,0,"1.217,00",0
2013,Andalucía,Huelva,CCAA,"32,96","6,42",0,0
2013,Andalucía,Huelva,CCAA,0,0,"748,97",0
2013,Andalucía,Huelva,State,"125,65","22,21",0,"0,00"
2013,Andalucía,Huelva,State,0,0,"304,81",0
2013,Andalucía,Huelva,provincial,0,0,"858,37",0
2013,Andalucía,Jaén,CCAA,"45,04",0,0,0
2013,Andalucía,Jaén,CCAA,0,0,"1.384,96",0
2013,Andalucía,Jaén,State,"191,84","1,87",0,"0,00"
2013,Andalucía,Jaén,State,0,0,"258,23",0
2013,Andalucía,Jaén,provincial,0,0,"1.557,64",0
2013,Andalucía,Málaga,CCAA,"97,24","11,14",0,0
2013,Andalucía,Málaga,CCAA,0,0,"1.149,26",0
2013,Andalucía,Málaga,State,"216,79","29,68",0,"122,09"
2013,Andalucía,Málaga,State,0,0,"33,32",0
2013,Andalucía,Málaga,provincial,0,0,"860,00",0
2013,Andalucía,Sevilla,CCAA,"154,32","41,71",0,0
2013,Andalucía,Sevilla,CCAA,0,0,"1.678,97",0
2013,Andalucía,Sevilla,State,"232,91","21,49",0,"50,95"
2013,Andalucía,Sevilla,State,0,0,"144,28",0
2013,Andalucía,Sevilla,provincial,0,"5,60",0,0
2013,Andalucía,Sevilla,provincial,0,0,"1.520,00",0
2013,Aragón,Huesca,CCAA,0,0,"2.045,06",0
2013,Aragón,Huesca,State,"146,55","0,57",0,"49,71"
2013,Aragón,Huesca,State,0,0,"685,20",0
2013,Aragón,Huesca,provincial,0,0,"1.386,00",0
2013,Aragón,Teruel,CCAA,0,0,"1.587,75",0
2013,Aragón,Teruel,State,"140,10","2,73",0,"0,00"
2013,Aragón,Teruel,State,0,0,"530,89",0
2013,Aragón,Teruel,provincial,0,0,"896,00",0
2013,Aragón,Zaragoza,CCAA,"5,22","8,68",0,0
2013,Aragón,Zaragoza,CCAA,0,0,"2.043,36",0
2013,Aragón,Zaragoza,State,"308,17","51,51",0,"107,02"
2013,Aragón,Zaragoza,State,0,0,"509,71",0
2013,Aragón,Zaragoza,provincial,0,"3,15",0,0
2013,Aragón,Zaragoza,provincial,0,0,"1.016,75",0
2013,Asturias,Asturias,CCAA,"65,70","7,02",0,0
2013,Asturias,Asturias,CCAA,0,0,"4.126,14",0
2013,Asturias,Asturias,State,"345,90","5,85",0,"21,86"
2013,Asturias,Asturias,State,0,0,"468,79",0
2013,Islas Baleares,Baleares,State,"0,00","0,00",0,"0,00"
2013,Islas Baleares,Baleares,State,0,0,"0,00",0
2013,Islas Baleares,Baleares,provincial,"93,14","93,62",0,0
2013,Islas Baleares,Baleares,provincial,0,0,"1.973,58",0
2013,Canarias,"Palmas, Las",State,"0,00","0,00",0,"0,00"
2013,Canarias,"Palmas, Las",State,0,0,"0,00",0
2013,Canarias,"Palmas, Las",provincial,"98,47","76,16",0,0
2013,Canarias,"Palmas, Las",provincial,0,0,"1.775,76",0
2013,Canarias,"Tenerife, S.C.",State,"0,00","0,00",0,"0,00"
2013,Canarias,"Tenerife, S.C.",State,0,0,"0,00",0
2013,Canarias,"Tenerife, S.C.",provincial,"134,06","13,00",0,0
2013,Canarias,"Tenerife, S.C.",provincial,0,0,"2.154,53",0
2013,Cantabria,Cantabria,CCAA,0,0,"1.994,50",0
2013,Cantabria,Cantabria,State,"226,60","2,95",0,"0,00"
2013,Cantabria,Cantabria,State,0,0,"345,33",0
2013,Castilla-La Mancha,Albacete,CCAA,0,0,"1.596,85",0
2013,Castilla-La Mancha,Albacete,State,"280,90","0,00",0,"0,00"
2013,Castilla-La Mancha,Albacete,State,0,0,"420,40",0
2013,Castilla-La Mancha,Albacete,provincial,0,0,"1.408,79",0
2013,Castilla-La Mancha,Ciudad Real,CCAA,"81,58","4,07",0,0
2013,Castilla-La Mancha,Ciudad Real,CCAA,0,0,"1.758,26",0
2013,Castilla-La Mancha,Ciudad Real,State,"256,82","7,63",0,"0,00"
2013,Castilla-La Mancha,Ciudad Real,State,0,0,"466,35",0
2013,Castilla-La Mancha,Ciudad Real,provincial,0,0,"1.724,00",0
2013,Castilla-La Mancha,Cuenca,CCAA,0,0,"1.712,69",0
2013,Castilla-La Mancha,Cuenca,State,"346,21","0,00",0,"49,83"
2013,Castilla-La Mancha,Cuenca,State,0,0,"584,34",0
2013,Castilla-La Mancha,Cuenca,provincial,0,0,"1.557,20",0
