year,region,province,toll_motorways,free_motorways,simple_road
2013,Andalucía,Almería,0,5,3
2014,Andalucía,Almería,0,2,1
2015,Andalucía,Almería,0,2,0
2016,Andalucía,Almería,0,3,0
2017,Andalucía,Almería,0,1,1
2018,Andalucía,Almería,0,2,4
2019,Andalucía,Almería,0,4,1
2020,Andalucía,Almería,0,7,1
2021,Andalucía,Almería,0,9,3
2022,Andalucía,Almería,0,7,3
2013,Andalucía,Cádiz,0,6,5
2014,Andalucía,Cádiz,1,7,5
2015,Andalucía,Cádiz,1,3,2
2016,Andalucía,Cádiz,0,2,4
2017,Andalucía,Cádiz,0,2,1
2018,Andalucía,Cádiz,2,2,10
2019,Andalucía,Cádiz,0,6,2
2020,Andalucía,Cádiz,0,1,4
2021,Andalucía,Cádiz,0,8,4
2022,Andalucía,Cádiz,0,3,3
2013,Andalucía,Córdoba,0,5,4
2014,Andalucía,Córdoba,0,3,8
2015,Andalucía,Córdoba,0,4,4
2016,Andalucía,Córdoba,0,4,3
2017,Andalucía,Córdoba,0,4,4
2018,Andalucía,Córdoba,0,7,6
2019,Andalucía,Córdoba,0,5,8
2020,Andalucía,Córdoba,0,2,0
2021,Andalucía,Córdoba,0,9,8
2022,Andalucía,Córdoba,0,4,9
2013,Andalucía,Granada,0,2,2
2014,Andalucía,Granada,0,6,5
2015,Andalucía,Granada,0,4,0
2016,Andalucía,Granada,0,1,2
2017,Andalucía,Granada,0,4,1
2018,Andalucía,Granada,0,2,3
2019,Andalucía,Granada,0,8,2
2020,Andalucía,Granada,0,1,8
2021,Andalucía,Granada,0,4,5
2022,Andalucía,Granada,0,4,4
2013,Andalucía,Huelva,0,5,5
2014,Andalucía,Huelva,0,1,7
2015,Andalucía,Huelva,0,3,3
2016,Andalucía,Huelva,0,1,5
2017,Andalucía,Huelva,0,1,3
2018,Andalucía,Huelva,0,1,3
2019,Andalucía,Huelva,0,1,2
2020,Andalucía,Huelva,0,4,2
2021,Andalucía,Huelva,0,0,6
2022,Andalucía,Huelva,0,5,3
2013,Andalucía,Jaén,0,1,2
2014,Andalucía,Jaén,0,4,2
2015,Andalucía,Jaén,0,2,0
2016,Andalucía,Jaén,0,3,6
2017,Andalucía,Jaén,0,5,3
2018,Andalucía,Jaén,0,5,8
2019,Andalucía,Jaén,0,3,3
2020,Andalucía,Jaén,0,2,2
2021,Andalucía,Jaén,0,2,2
2022,Andalucía,Jaén,0,4,2
2013,Andalucía,Málaga,3,4,0
2014,Andalucía,Málaga,4,5,1
2015,Andalucía,Málaga,0,5,2
2016,Andalucía,Málaga,0,8,1
2017,Andalucía,Málaga,2,14,2
2018,Andalucía,Málaga,1,5,1
2019,Andalucía,Málaga,3,13,1
2020,Andalucía,Málaga,4,9,1
2021,Andalucía,Málaga,7,8,1
2022,Andalucía,Málaga,0,10,0
2013,Andalucía,Sevilla,0,5,5
2014,Andalucía,Sevilla,0,11,5
2015,Andalucía,Sevilla,0,0,5
2016,Andalucía,Sevilla,0,6,6
2017,Andalucía,Sevilla,0,7,0
2018,Andalucía,Sevilla,0,9,6
2019,Andalucía,Sevilla,0,2,3
2020,Andalucía,Sevilla,0,7,2
2021,Andalucía,Sevilla,0,10,2
2022,Andalucía,Sevilla,0,14,3
2013,Aragón,Huesca,0,0,7
2014,Aragón,Huesca,2,0,3
2015,Aragón,Huesca,0,0,10
2016,Aragón,Huesca,0,1,4
2017,Aragón,Huesca,0,0,11
2018,Aragón,Huesca,0,5,10
2019,Aragón,Huesca,0,3,13
2020,Aragón,Huesca,0,2,7
2021,Aragón,Huesca,0,2,4
2022,Aragón,Huesca,0,3,10
2013,Aragón,Teruel,0,3,1
2014,Aragón,Teruel,0,2,4
2015,Aragón,Teruel,0,3,6
2016,Aragón,Teruel,0,0,1
2017,Aragón,Teruel,0,0,8
2018,Aragón,Teruel,0,1,2
2019,Aragón,Teruel,0,0,4
2020,Aragón,Teruel,0,1,2
2021,Aragón,Teruel,0,2,3
2022,Aragón,Teruel,0,0,3
2013,Aragón,Zaragoza,0,7,15
2014,Aragón,Zaragoza,0,3,6
2015,Aragón,Zaragoza,1,4,10
2016,Aragón,Zaragoza,0,6,14
2017,Aragón,Zaragoza,3,4,12
2018,Aragón,Zaragoza,2,11,10
2019,Aragón,Zaragoza,1,4,7
2020,Aragón,Zaragoza,2,4,14
2021,Aragón,Zaragoza,0,4,12
2022,Aragón,Zaragoza,1,8,9
2013,Asturias,Asturias,1,1,10
2014,Asturias,Asturias,0,3,4
2015,Asturias,Asturias,1,5,2
2016,Asturias,Asturias,0,5,6
2017,Asturias,Asturias,0,0,4
2018,Asturias,Asturias,0,3,7
2019,Asturias,Asturias,1,6,2
2020,Asturias,Asturias,0,3,1
2021,Asturias,Asturias,0,3,3
2022,Asturias,Asturias,0,7,5
2013,Islas Baleares,Baleares,0,0,0
2014,Islas Baleares,Baleares,0,0,0
2015,Islas Baleares,Baleares,0,0,0
2016,Islas Baleares,Baleares,0,0,0
2017,Islas Baleares,Baleares,0,0,0
2018,Islas Baleares,Baleares,0,0,0
2019,Islas Baleares,Baleares,0,0,0
