year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial
2013,País Vasco,Álava,202969,906,1216,17,86,1113,56,,0.0,92.27,,0.0,11.96,,0.0,1283.98,,60.89,14.23
2013,Castilla-La Mancha,Albacete,246555,481,680,19,87,574,144,0.0,280.9,0.0,0.0,0.0,0.0,1596.85,420.4,1408.79,0.0,0.0,0.0
2013,C. Valenciana,Alicante,1194721,2465,3530,42,341,3147,344,15.49,235.9,0.0,58.4,65.29,16.08,906.9,208.49,996.38,0.0,159.46,0.0
2013,Andalucía,Almería,448850,788,1321,30,121,1170,162,101.57,203.5,0.0,2.32,1.12,0.0,713.76,140.06,1172.88,0.0,28.19,0.0
2013,Castilla y León,Ávila,99333,378,558,19,71,468,55,0.0,86.97,0.0,2.01,3.24,0.0,986.73,346.39,1065.0,0.0,37.4,0.0
2013,Extremadura,Badajoz,426061,755,1134,25,144,965,220,16.88,238.74,0.0,24.26,15.76,0.0,2090.87,572.4,1917.29,0.0,0.0,0.0
2013,Islas Baleares,Baleares,725342,3431,4767,45,374,4348,170,,0.0,93.14,,0.0,93.62,,0.0,1973.58,,0.0,0.0
2013,Cataluña,Barcelona,3463167,18402,24777,141,1158,23478,674,294.05,139.19,0.0,49.4,1.05,0.0,1480.16,49.22,1585.21,157.67,118.93,0.0
2013,Castilla y León,Burgos,227824,836,1167,36,150,981,120,46.75,179.52,0.0,5.9,15.31,0.0,1775.53,663.66,2289.44,0.0,76.29,0.0
2013,Extremadura,Cáceres,248617,506,724,22,65,637,108,100.98,337.0,0.0,12.3,20.18,0.0,1590.85,408.45,1819.8,0.0,0.0,0.0
2013,Andalucía,Cádiz,786918,2318,3576,37,217,3322,190,138.09,116.88,0.0,15.29,35.98,0.0,858.22,113.45,806.68,0.0,47.8,0.0
2013,C. Valenciana,Castellón,379331,689,998,22,116,860,157,46.22,74.63,0.0,44.45,3.66,0.0,873.78,262.93,750.37,0.0,119.88,0.0
2013,Castilla-La Mancha,Ciudad Real,321789,586,937,38,93,806,180,81.58,256.82,0.0,4.07,7.63,0.0,1758.26,466.35,1724.0,0.0,0.0,0.0
2013,Andalucía,Córdoba,491768,1323,1915,36,199,1680,207,9.97,173.62,0.0,17.42,4.56,0.0,1596.96,417.53,1786.94,0.0,0.0,0.0
