year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial,acc_victims_rate_per_100k
2013,País Vasco,Álava,202969,906,1216,17,86,1113,56,,0,9227.0,,0,1196.0,,0,128398.0,,6089,1423.0,446.3735841433914
2013,Castilla-La Mancha,Albacete,246555,481,680,19,87,574,144,0.0,2809,0.0,0.0,0,0.0,159685.0,4204,140879.0,0.0,0,0.0,195.0883170083754
2013,C. Valenciana,Alicante,1194721,2465,3530,42,341,3147,344,1549.0,2359,0.0,584.0,6529,1608.0,9069.0,20849,99638.0,0.0,15946,0.0,206.3243217454117
2013,Andalucía,Almería,448850,788,1321,30,121,1170,162,10157.0,2035,0.0,232.0,112,0.0,71376.0,14006,117288.0,0.0,2819,0.0,175.55976384092682
2013,Castilla y León,Ávila,99333,378,558,19,71,468,55,0.0,8697,0.0,201.0,324,0.0,98673.0,34639,10650.0,0.0,374,0.0,380.53818972546884
2013,Extremadura,Badajoz,426061,755,1134,25,144,965,220,1688.0,23874,0.0,2426.0,1576,0.0,209087.0,5724,191729.0,0.0,0,0.0,177.20467257035963
2013,Islas Baleares,Baleares,725342,3431,4767,45,374,4348,170,,0,9314.0,,0,9362.0,,0,197358.0,,0,0.0,473.01824518640865
2013,Cataluña,Barcelona,3463167,18402,24777,141,1158,23478,674,29405.0,13919,0.0,494.0,105,0.0,148016.0,4922,158521.0,15767.0,11893,0.0,531.3633445918143
2013,Castilla y León,Burgos,227824,836,1167,36,150,981,120,4675.0,17952,0.0,59.0,1531,0.0,177553.0,66366,228944.0,0.0,7629,0.0,366.94992625886647
2013,Extremadura,Cáceres,248617,506,724,22,65,637,108,10098.0,3370,0.0,123.0,2018,0.0,159085.0,40845,18198.0,0.0,0,0.0,203.52590530816477
2013,Andalucía,Cádiz,786918,2318,3576,37,217,3322,190,13809.0,11688,0.0,1529.0,3598,0.0,85822.0,11345,80668.0,0.0,478,0.0,294.5669053192327
2013,C. Valenciana,Castellón,379331,689,998,22,116,860,157,4622.0,7463,0.0,4445.0,366,0.0,87378.0,26293,75037.0,0.0,11988,0.0,181.63556366339688
2013,Castilla-La Mancha,Ciudad Real,321789,586,937,38,93,806,180,8158.0,25682,0.0,407.0,763,0.0,175826.0,46635,17240.0,0.0,0,0.0,182.10690856430767
2013,Andalucía,Córdoba,491768,1323,1915,36,199,1680,207,997.0,17362,0.0,1742.0,456,0.0,159696.0,41753,178694.0,0.0,0,0.0,269.0292983683363
2013,Galicia,"Coruña, A",703068,1256,1831,73,238,1520,225,10204.0,6774,0.0,255.0,5255,0.0,158053.0,27988,21190.0,333.0,14632,0.0,178.64559331387576
2013,Castilla-La Mancha,Cuenca,126794,374,599,30,69,500,139,0.0,34621,0.0,0.0,0,0.0,171269.0,58434,15572.0,0.0,4983,0.0,294.9666387999432
2013,Cataluña,Gerona,475742,2265,3141,47,258,2836,217,9989.0,2695,0.0,1197.0,634,259.0,115987.0,28677,68043.0,0.0,9262,0.0,476.0983894631965
2013,Andalucía,Granada,572911,1820,2697,33,219,2445,226,23559.0,13208,0.0,1172.0,62,0.0,135536.0,18209,12170.0,0.0,0,0.0,317.6758693758716
2013,Castilla-La Mancha,Guadalajara,163758,281,418,8,52,358,71,926.0,9967,0.0,0.0,69,0.0,145459.0,29178,15680.0,0.0,2402,0.0,171.59467018405206
2013,País Vasco,Guipúzcoa,435982,1765,2267,24,174,2069,120,,0,1001.0,,0,2092.0,,0,118402.0,,0,9564.0,404.8332270598328
2013,Andalucía,Huelva,331489,551,898,26,70,802,120,3296.0,12565,0.0,642.0,2221,0.0,74897.0,30481,85837.0,0.0,0,0.0,166.21969356449233
2013,Aragón,Huesca,137203,422,584,22,111,451,111,0.0,14655,0.0,0.0,57,0.0,204506.0,6852,13860.0,0.0,4971,0.0,307.57344956014083
2013,Andalucía,Jaén,405207,816,1217,24,114,1079,192,4504.0,19184,0.0,0.0,187,0.0,138496.0,25823,155764.0,0.0,0,0.0,201.3785546646529
2013,Castilla y León,León,295321,827,1238,26,132,1080,150,684.0,23166,0.0,53.0,216,0.0,170647.0,58861,331032.0,0.0,9368,0.0,280.03426779673646
2013,Cataluña,Lérida,273926,1195,1759,42,218,1499,183,1926.0,12786,0.0,0.0,1065,0.0,154358.0,31477,82475.0,0.0,6047,0.0,436.2492059899389
2013,La Rioja,"Rioja, La",198717,655,931,16,69,846,74,0.0,4572,,30.0,138,,14330.0,25463,,0.0,1191,,329.6144768691154
2013,Galicia,Lugo,202791,522,741,14,129,598,111,1616.0,18026,0.0,241.0,111,0.0,143893.0,50628,42080.0,0.0,0,0.0,257.40787313046434
2013,Madrid,Madrid,4169259,14114,18730,130,1386,17214,585,12256.0,49361,,20461.0,705,,224578.0,10605,,0.0,16082,,338.525383047683
2013,Andalucía,Málaga,1038287,2711,3824,49,356,3419,261,9724.0,21679,0.0,1114.0,2968,0.0,114926.0,3332,8600.0,0.0,12209,0.0,261.10314392841286
2013,Murcia,Murcia,919532,863,1365,57,162,1146,359,1674.0,28673,,801.0,1248,,271941.0,14284,,0.0,11464,,93.85208997620528
2013,Navarra,Navarra,396781,396,601,31,102,468,220,23378.0,0,,2399.0,0,,347219.0,0,,9957.0,3903,,99.80316597820965
2013,Galicia,Orense,186540,313,454,14,85,355,95,4797.0,16836,0.0,20.0,82,0.0,98397.0,34503,184007.0,0.0,0,0.0,167.79243057789213
2013,Asturias,Asturias,668373,2298,3512,46,237,3229,210,657.0,3459,,702.0,585,,412614.0,46879,,0.0,2186,,343.8199927286111
2013,Castilla y León,Palencia,103626,270,417,15,60,342,57,609.0,19333,0.0,0.0,0,0.0,147281.0,24701,103459.0,0.0,0,0.0,260.55237102657634
2013,Canarias,"Palmas, Las",737713,698,1095,25,79,991,204,,0,9847.0,,0,7616.0,,0,177576.0,,0,0.0,94.61674119881309
2013,Galicia,Pontevedra,598275,1694,2711,31,227,2453,168,2498.0,8031,0.0,644.0,632,0.0,122935.0,3173,16860.0,2098.0,12671,0.0,283.1473820567465
2013,Castilla y León,Salamanca,204996,811,1150,12,87,1051,95,0.0,30043,0.0,0.0,838,0.0,126291.0,26453,21370.0,0.0,0,0.0,395.6174754629359
2013,Canarias,"Tenerife, S.C.",663674,1653,2310,23,221,2066,207,,0,13406.0,,0,130.0,,0,215453.0,,0,0.0,249.0680665507463
2013,Cantabria,Cantabria,374149,815,1269,20,97,1152,130,0.0,2266,,0.0,295,,19945.0,34533,,0.0,0,,217.82765689604943
2013,Castilla y León,Segovia,97806,309,485,8,54,423,64,6449.0,4704,0.0,63.0,186,0.0,70379.0,24869,123342.0,0.0,6947,0.0,315.9315379424575
2013,Andalucía,Sevilla,1218610,3617,5492,48,319,5125,360,15432.0,23291,0.0,4171.0,2149,56.0,167897.0,14428,15200.0,0.0,5095,0.0,296.81358268847293
2013,Castilla y León,Soria,54404,119,165,9,26,130,35,0.0,11869,0.0,0.0,185,0.0,90527.0,40752,188155.0,0.0,0,0.0,218.73391662377765
2013,Cataluña,Tarragona,504505,1969,2735,42,233,2460,208,3039.0,7627,0.0,2255.0,1611,622.0,105281.0,28457,108041.0,1059.0,19113,0.0,390.28354525723233
2013,Aragón,Teruel,83921,148,217,6,36,175,83,0.0,1401,0.0,0.0,273,0.0,158775.0,53089,8960.0,0.0,0,0.0,176.35633512470062
2013,Castilla-La Mancha,Toledo,437369,884,1348,25,142,1181,266,14507.0,38268,0.0,0.0,1247,0.0,193521.0,36154,9980.0,0.0,14027,0.0,202.11766266013367
2013,C. Valenciana,Valencia,1620455,4378,5958,77,493,5388,519,11053.0,29239,0.0,4762.0,4935,35.0,64468.0,38545,18165.0,0.0,8778,0.0,270.17103221008915
2013,Castilla y León,Valladolid,333478,783,1163,22,102,1039,121,4073.0,25162,0.0,0.0,1429,0.0,10427.0,26942,143017.0,0.0,0,0.0,234.7980976256305
2013,País Vasco,Vizcaya,719668,1880,2716,22,168,2526,108,,0,9217.0,,0,3486.0,,0,110673.0,,224,5489.0,261.23156788963803
2013,Castilla y León,Zamora,108167,140,212,13,64,135,74,0.0,28516,0.0,0.0,1435,0.0,115174.0,42312,156144.0,0.0,0,0.0,129.4294932835338
2013,Aragón,Zaragoza,607653,1470,2032,40,245,1747,221,522.0,30817,0.0,868.0,5151,315.0,204336.0,50971,101675.0,0.0,10702,0.0,241.91438205686467
2013,Ceuta,Ceuta,52354,166,258,1,9,248,9,0.0,0,,0.0,137,,180.0,1746,,0.0,0,,317.07223898842494
2013,Melilla,Melilla,51220,407,560,0,21,539,13,0.0,0,,53.0,102,,1639.0,889,,0.0,0,,794.6114798906677
2014,País Vasco,Álava,200971,918,1212,5,80,1127,58,,0,9187.0,,0,1196.0,,0,128398.0,,610,1423.0,456.7823218275273
2014,Castilla-La Mancha,Albacete,243938,616,849,23,101,725,150,0.0,2810,0.0,0.0,0,0.0,161262.0,4200,140879.0,0.0,0,0.0,252.5231821200469
2014,C. Valenciana,Alicante,1148660,2602,3650,67,268,3315,361,1551.0,2360,0.0,5832.0,730,1082.0,90763.0,2010,101017.0,0.0,1590,0.0,226.524820225306
2014,Andalucía,Almería,448508,691,1096,19,94,983,174,10125.0,2030,0.0,241.0,10,0.0,70382.0,1400,11690.0,0.0,280,0.0,154.06637116840727
2014,Castilla y León,Ávila,97876,464,660,12,71,577,61,0.0,870,0.0,0.0,30,0.0,98757.0,3460,10650.0,0.0,370,0.0,474.0692304548612
2014,Extremadura,Badajoz,424081,925,1380,40,147,1193,221,1688.0,2390,0.0,166.0,160,0.0,209529.0,5720,191729.0,0.0,0,0.0,218.11870845428115
2014,Islas Baleares,Baleares,716439,3229,4452,50,340,4062,171,,0,9352.0,,0,9302.0,,0,197906.0,,0,0.0,450.701315813349
2014,Cataluña,Barcelona,3423132,18473,24758,159,1172,23427,711,30975.0,1390,0.0,494.0,10,0.0,159059.0,490,157545.0,15767.0,1190,0.0,539.6519912173998
2014,Castilla y León,Burgos,223226,747,1048,24,123,901,123,4675.0,1800,0.0,588.0,150,0.0,17657.0,6640,228944.0,0.0,760,0.0,334.6384381747646
2014,Extremadura,Cáceres,247866,472,725,16,61,648,116,1071.0,3370,0.0,1064.0,200,0.0,157407.0,4090,18350.0,0.0,0,0.0,190.42547182751971
2014,Andalucía,Cádiz,784751,2709,4217,41,202,3974,212,13809.0,1170,0.0,1505.0,360,0.0,88086.0,1140,80668.0,0.0,480,0.0,345.2050395603191
2014,C. Valenciana,Castellón,366427,672,910,29,92,789,169,4622.0,750,0.0,4585.0,40,0.0,87696.0,2630,75037.0,0.0,1200,0.0,183.39259934448063
2014,Castilla-La Mancha,Ciudad Real,317872,635,992,19,79,894,185,8096.0,2570,0.0,382.0,80,0.0,172013.0,4610,17240.0,0.0,0,0.0,199.7659435244375
2014,Andalucía,Córdoba,489061,1418,1997,37,151,1809,217,997.0,1730,0.0,175.0,50,0.0,162037.0,4180,18071.0,0.0,0,0.0,289.94338129599373
2014,Galicia,"Coruña, A",694134,1114,1661,55,226,1380,245,10204.0,680,0.0,255.0,530,0.0,157944.0,2800,21170.0,333.0,1460,0.0,160.48774444127503
2014,Castilla-La Mancha,Cuenca,123542,362,562,17,44,501,140,0.0,3460,0.0,0.0,0,0.0,171881.0,5840,15572.0,0.0,500,0.0,293.01775914263976
