comunidad,provincia,year,tipo_via,valor,Textbox80,Textbox60,Textbox61,Textbox81,Textbox64,Textbox82
Andalucía,Almería,2005,Autopistas de peaje,0,325,Subtotal Andalucía,81,3.060,1.682,16.966
Andalucía,Almería,2005,Autopistas libres y autovías,189,325,Subtotal Andalucía,1.671,3.060,7.360,16.966
Andalucía,Almería,2005,Carreteras convencionales,136,325,Subtotal Andalucía,1.308,3.060,7.924,16.966
Andalucía,Almería,2006,Autopistas de peaje,0,323,Subtotal Andalucía,86,3.062,1.670,16.429
Andalucía,Almería,2006,Autopistas libres y autovías,216,323,Subtotal Andalucía,1.712,3.062,7.694,16.429
Andalucía,Almería,2006,Carreteras convencionales,107,323,Subtotal Andalucía,1.264,3.062,7.065,16.429
Andalucía,Almería,2007,Autopistas de peaje,1,277,Subtotal Andalucía,84,3.043,1.710,17.696
Andalucía,Almería,2007,Autopistas libres y autovías,196,277,Subtotal Andalucía,1.714,3.043,8.442,17.696
Andalucía,Almería,2007,Carreteras convencionales,80,277,Subtotal Andalucía,1.245,3.043,7.544,17.696
Andalucía,Almería,2008,Autopistas de peaje,0,215,Subtotal Andalucía,150,2.583,1.669,15.353
Andalucía,Almería,2008,Autopistas libres y autovías,143,215,Subtotal Andalucía,1.506,2.583,7.536,15.353
Andalucía,Almería,2008,Carreteras convencionales,72,215,Subtotal Andalucía,927,2.583,6.148,15.353
Andalucía,Almería,2009,Autopistas de peaje,2,177,Subtotal Andalucía,132,2.410,1.493,13.968
Andalucía,Almería,2009,Autopistas libres y autovías,121,177,Subtotal Andalucía,1.499,2.410,7.151,13.968
Andalucía,Almería,2009,Carreteras convencionales,54,177,Subtotal Andalucía,779,2.410,5.324,13.968
Andalucía,Almería,2010,Autopistas de peaje,0,163,Subtotal Andalucía,125,2.249,1.400,13.307
Andalucía,Almería,2010,Autopistas libres y autovías,116,163,Subtotal Andalucía,1.393,2.249,7.081,13.307
Andalucía,Almería,2010,Carreteras convencionales,47,163,Subtotal Andalucía,731,2.249,4.826,13.307
Andalucía,Almería,2011,Autopistas de peaje,0,143,Subtotal Andalucía,84,1.964,1.213,11.979
Andalucía,Almería,2011,Autopistas libres y autovías,106,143,Subtotal Andalucía,1.168,1.964,6.198,11.979
Andalucía,Almería,2011,Carreteras convencionales,37,143,Subtotal Andalucía,712,1.964,4.568,11.979
Andalucía,Almería,2012,Autopistas de peaje,0,193,Subtotal Andalucía,119,2.061,1.203,11.659
Andalucía,Almería,2012,Autopistas libres y autovías,137,193,Subtotal Andalucía,1.261,2.061,5.983,11.659
Andalucía,Almería,2012,Carreteras convencionales,56,193,Subtotal Andalucía,681,2.061,4.473,11.659
Andalucía,Almería,2013,Autopistas de peaje,0,161,Subtotal Andalucía,91,1.916,1.224,11.245
Andalucía,Almería,2013,Autopistas libres y autovías,98,161,Subtotal Andalucía,1.240,1.916,5.912,11.245
Andalucía,Almería,2013,Carreteras convencionales,63,161,Subtotal Andalucía,585,1.916,4.109,11.245
Andalucía,Almería,2014,Autopistas de peaje,9,141,Subtotal Andalucía,72,1.905,957,10.973
Andalucía,Almería,2014,Autopistas libres y autovías,95,141,Subtotal Andalucía,1.186,1.905,5.865,10.973
Andalucía,Almería,2014,Carreteras convencionales,37,141,Subtotal Andalucía,647,1.905,4.151,10.973
