year,comunidad,provincia,Carburante,cantidad,Textbox4,Textbox6,Textbox10
2013,Andalucía,Almería,Gasolina 95 E5,,,Total 2013,
2013,Andalucía,Almería,Gasolina 95 E10,,,Total 2013,
2013,Andalucía,Almería,Gasolina 95 E5 Premium,,,Total 2013,
2013,Andalucía,Almería,Gasolina 95,152,1.548,Total 2013,8.744
2013,Andalucía,Almería,Gasolina 95 (G.protección),,,Total 2013,
2013,Andalucía,Almería,Gasolina 98 E5,,,Total 2013,
2013,Andalucía,Almería,Gasolina 98 E10,,,Total 2013,
2013,Andalucía,Almería,Gasolina 98,107,1.075,Total 2013,6.720
2013,Andalucía,Almería,Gasóleo A habitual,162,1.718,Total 2013,9.382
2013,Andalucía,Almería,Gasóleo Premium,,,Total 2013,
2013,Andalucía,Almería,Nuevo gasóleo A,110,1.194,Total 2013,6.747
2013,Andalucía,Almería,Gasóleo B,66,686,Total 2013,3.047
2013,Andalucía,Almería,Gasóleo C,1,6,Total 2013,78
2013,Andalucía,Almería,Biodiésel,3,46,Total 2013,243
2013,Andalucía,Almería,Bioetanol,,,Total 2013,
2013,Andalucía,Almería,Gases licuados del petróleo,,,Total 2013,
2013,Andalucía,Almería,Gas natural comprimido,,,Total 2013,
2013,Andalucía,Almería,Gas natural licuado,,,Total 2013,
2013,Andalucía,Cádiz,Gasolina 95 E5,,,Total 2013,
2013,Andalucía,Cádiz,Gasolina 95 E10,,,Total 2013,
2013,Andalucía,Cádiz,Gasolina 95 E5 Premium,,,Total 2013,
2013,Andalucía,Cádiz,Gasolina 95,178,1.548,Total 2013,8.744
2013,Andalucía,Cádiz,Gasolina 95 (G.protección),,,Total 2013,
2013,Andalucía,Cádiz,Gasolina 98 E5,,,Total 2013,
2013,Andalucía,Cádiz,Gasolina 98 E10,,,Total 2013,
2013,Andalucía,Cádiz,Gasolina 98,143,1.075,Total 2013,6.720
2013,Andalucía,Cádiz,Gasóleo A habitual,190,1.718,Total 2013,9.382
2013,Andalucía,Cádiz,Gasóleo Premium,,,Total 2013,
2013,Andalucía,Cádiz,Nuevo gasóleo A,149,1.194,Total 2013,6.747
