comunidad,provincia,year,Titularidad,Clase_via,tipo_via,longitud,Textbox24,Textbox25,Textbox14,Textbox7,Textbox3,Textbox5,Textbox10,Textbox11,Textbox26,Textbox12,Textbox13,Textbox110,Textbox27,Textbox8,Textbox6
Andalucía,Almería,2012,Estado,Gran capacidad,Autopistas de peaje,"28,19",Subtotal gran capacidad,"233,62",Subtotal Estado,"369,88",Total 2012,"2.368,19",Subtotal Andalucía,"241,02","1.772,49","3.376,62","23.591,73","2.538,44","11.534,73","26.037,86","165.594,84"
Andalucía,Almería,2012,Estado,Gran capacidad,Autopistas libres y autovías,"202,74",Subtotal gran capacidad,"233,62",Subtotal Estado,"369,88",Total 2012,"2.368,19",Subtotal Andalucía,"1.406,47","1.772,49","3.376,62","23.591,73","8.388,96","11.534,73","26.037,86","165.594,84"
Andalucía,Almería,2012,Estado,Gran capacidad,Carreteras multicarril,"2,69",Subtotal gran capacidad,"233,62",Subtotal Estado,"369,88",Total 2012,"2.368,19",Subtotal Andalucía,"125,01","1.772,49","3.376,62","23.591,73","607,34","11.534,73","26.037,86","165.594,84"
Andalucía,Almería,2012,Estado,Resto de vías,Carreteras convencionales,"136,26",Subtotal resto de vías,"136,26",Subtotal Estado,"369,88",Total 2012,"2.368,19",Subtotal Andalucía,"1.604,13","1.604,13","3.376,62","23.591,73","14.503,12","14.503,12","26.037,86","165.594,84"
Andalucía,Almería,2012,Comunidades autónomas,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"818,44",Total 2012,"2.368,19",Subtotal Andalucía,,"920,80","10.415,73","23.591,73","322,11","3.739,74","71.381,31","165.594,84"
Andalucía,Almería,2012,Comunidades autónomas,Gran capacidad,Autopistas libres y autovías,"101,57",Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"818,44",Total 2012,"2.368,19",Subtotal Andalucía,"814,78","920,80","10.415,73","23.591,73","2.676,05","3.739,74","71.381,31","165.594,84"
Andalucía,Almería,2012,Comunidades autónomas,Gran capacidad,Carreteras multicarril,"2,32",Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"818,44",Total 2012,"2.368,19",Subtotal Andalucía,"106,02","920,80","10.415,73","23.591,73","741,58","3.739,74","71.381,31","165.594,84"
Andalucía,Almería,2012,Comunidades autónomas,Resto de vías,Carreteras convencionales,"714,55",Subtotal resto de vías,"714,55",Subtotal comunidades autónomas,"818,44",Total 2012,"2.368,19",Subtotal Andalucía,"9.494,93","9.494,93","10.415,73","23.591,73","67.641,57","67.641,57","71.381,31","165.594,84"
Andalucía,Almería,2012,Diputaciones y cabildos,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.179,87",Total 2012,"2.368,19",Subtotal Andalucía,,"5,60","9.799,38","23.591,73","164,76","1.060,72","68.175,68","165.594,84"
Andalucía,Almería,2012,Diputaciones y cabildos,Gran capacidad,Autopistas libres y autovías,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.179,87",Total 2012,"2.368,19",Subtotal Andalucía,,"5,60","9.799,38","23.591,73","610,99","1.060,72","68.175,68","165.594,84"
Andalucía,Almería,2012,Diputaciones y cabildos,Gran capacidad,Carreteras multicarril,,Subtotal gran capacidad,,Subtotal diputaciones y cabildos,"1.179,87",Total 2012,"2.368,19",Subtotal Andalucía,"5,60","5,60","9.799,38","23.591,73","284,98","1.060,72","68.175,68","165.594,84"
Andalucía,Almería,2012,Diputaciones y cabildos,Resto de vías,Carreteras convencionales,"1.179,87",Subtotal resto de vías,"1.179,87",Subtotal diputaciones y cabildos,"1.179,87",Total 2012,"2.368,19",Subtotal Andalucía,"9.793,78","9.793,78","9.799,38","23.591,73","67.114,95","67.114,95","68.175,68","165.594,84"
Andalucía,Almería,2013,Estado,Gran capacidad,Autopistas de peaje,"28,19",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2013,"2.363,40",Subtotal Andalucía,"249,03","1.759,83","3.353,60","23.545,97","2.538,76","11.604,38","26.072,84","165.360,78"
Andalucía,Almería,2013,Estado,Gran capacidad,Autopistas libres y autovías,"203,50",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2013,"2.363,40",Subtotal Andalucía,"1.393,27","1.759,83","3.353,60","23.545,97","8.492,95","11.604,38","26.072,84","165.360,78"
Andalucía,Almería,2013,Estado,Gran capacidad,Carreteras multicarril,"1,12",Subtotal gran capacidad,"232,81",Subtotal Estado,"372,87",Total 2013,"2.363,40",Subtotal Andalucía,"117,53","1.759,83","3.353,60","23.545,97","572,67","11.604,38","26.072,84","165.360,78"
Andalucía,Almería,2013,Estado,Resto de vías,Carreteras convencionales,"140,06",Subtotal resto de vías,"140,06",Subtotal Estado,"372,87",Total 2013,"2.363,40",Subtotal Andalucía,"1.593,77","1.593,77","3.353,60","23.545,97","14.468,46","14.468,46","26.072,84","165.360,78"
Andalucía,Almería,2013,Comunidades autónomas,Gran capacidad,Autopistas de peaje,,Subtotal gran capacidad,"103,89",Subtotal comunidades autónomas,"817,65",Total 2013,"2.363,40",Subtotal Andalucía,,"920,80","10.407,26","23.545,97","322,11","3.915,45","71.145,32","165.360,78"
