comunidad,provincia,year,tipo_via,valor,Textbox80,Textbox60,Textbox61,Textbox81,Textbox64,Textbox82
Andalucía,Almería,2008,Autopistas de peaje,0,11,Subtotal Andalucía,18,150,93,874
Andalucía,Almería,2008,Autopistas libres y autovías,8,11,Subtotal Andalucía,56,150,294,874
Andalucía,Almería,2008,Carreteras convencionales,3,11,Subtotal Andalucía,76,150,487,874
Andalucía,Almería,2009,Autopistas de peaje,0,15,Subtotal Andalucía,7,129,68,758
Andalucía,Almería,2009,Autopistas libres y autovías,11,15,Subtotal Andalucía,64,129,281,758
Andalucía,Almería,2009,Carreteras convencionales,4,15,Subtotal Andalucía,58,129,409,758
Andalucía,Almería,2010,Autopistas de peaje,0,10,Subtotal Andalucía,6,117,77,686
Andalucía,Almería,2010,Autopistas libres y autovías,7,10,Subtotal Andalucía,55,117,251,686
Andalucía,Almería,2010,Carreteras convencionales,3,10,Subtotal Andalucía,56,117,358,686
Andalucía,Almería,2011,Autopistas de peaje,0,7,Subtotal Andalucía,8,84,30,571
Andalucía,Almería,2011,Autopistas libres y autovías,5,7,Subtotal Andalucía,33,84,218,571
Andalucía,Almería,2011,Carreteras convencionales,2,7,Subtotal Andalucía,43,84,323,571
Andalucía,Almería,2012,Autopistas de peaje,0,14,Subtotal Andalucía,7,84,44,515
Andalucía,Almería,2012,Autopistas libres y autovías,13,14,Subtotal Andalucía,46,84,197,515
Andalucía,Almería,2012,Carreteras convencionales,1,14,Subtotal Andalucía,31,84,274,515
Andalucía,Almería,2013,Autopistas de peaje,0,8,Subtotal Andalucía,3,62,41,444
Andalucía,Almería,2013,Autopistas libres y autovías,5,8,Subtotal Andalucía,33,62,177,444
Andalucía,Almería,2013,Carreteras convencionales,3,8,Subtotal Andalucía,26,62,226,444
Andalucía,Almería,2014,Autopistas de peaje,0,3,Subtotal Andalucía,5,78,42,421
Andalucía,Almería,2014,Autopistas libres y autovías,2,3,Subtotal Andalucía,39,78,159,421
Andalucía,Almería,2014,Carreteras convencionales,1,3,Subtotal Andalucía,34,78,220,421
Andalucía,Almería,2015,Autopistas de peaje,0,2,Subtotal Andalucía,1,40,33,402
Andalucía,Almería,2015,Autopistas libres y autovías,2,2,Subtotal Andalucía,23,40,153,402
Andalucía,Almería,2015,Carreteras convencionales,0,2,Subtotal Andalucía,16,40,216,402
Andalucía,Almería,2016,Autopistas de peaje,0,3,Subtotal Andalucía,0,55,42,432
Andalucía,Almería,2016,Autopistas libres y autovías,3,3,Subtotal Andalucía,28,55,156,432
Andalucía,Almería,2016,Carreteras convencionales,0,3,Subtotal Andalucía,27,55,234,432
Andalucía,Almería,2017,Autopistas de peaje,0,2,Subtotal Andalucía,2,55,34,405
Andalucía,Almería,2017,Autopistas libres y autovías,1,2,Subtotal Andalucía,38,55,164,405
Andalucía,Almería,2017,Carreteras convencionales,1,2,Subtotal Andalucía,15,55,207,405
Andalucía,Almería,2018,Autopistas de peaje,0,6,Subtotal Andalucía,3,77,45,495
Andalucía,Almería,2018,Autopistas libres y autovías,2,6,Subtotal Andalucía,33,77,196,495
Andalucía,Almería,2018,Carreteras convencionales,4,6,Subtotal Andalucía,41,77,254,495
Andalucía,Almería,2019,Autopistas de peaje,0,5,Subtotal Andalucía,3,67,41,408
Andalucía,Almería,2019,Autopistas libres y autovías,4,5,Subtotal Andalucía,42,67,201,408
Andalucía,Almería,2019,Carreteras convencionales,1,5,Subtotal Andalucía,22,67,166,408
Andalucía,Almería,2020,Autopistas de peaje,0,8,Subtotal Andalucía,4,57,18,338
Andalucía,Almería,2020,Autopistas libres y autovías,7,8,Subtotal Andalucía,33,57,156,338
Andalucía,Almería,2020,Carreteras convencionales,1,8,Subtotal Andalucía,20,57,164,338
Andalucía,Almería,2021,Autopistas de peaje,0,12,Subtotal Andalucía,7,88,29,386
Andalucía,Almería,2021,Autopistas libres y autovías,9,12,Subtotal Andalucía,50,88,191,386
Andalucía,Almería,2021,Carreteras convencionales,3,12,Subtotal Andalucía,31,88,166,386
Andalucía,Almería,2022,Autopistas de peaje,0,10,Subtotal Andalucía,0,78,23,455
Andalucía,Almería,2022,Autopistas libres y autovías,7,10,Subtotal Andalucía,51,78,244,455
Andalucía,Almería,2022,Carreteras convencionales,3,10,Subtotal Andalucía,27,78,188,455
Andalucía,Cádiz,2008,Autopistas de peaje,2,16,Subtotal Andalucía,18,150,93,874
Andalucía,Cádiz,2008,Autopistas libres y autovías,3,16,Subtotal Andalucía,56,150,294,874
Andalucía,Cádiz,2008,Carreteras convencionales,11,16,Subtotal Andalucía,76,150,487,874
Andalucía,Cádiz,2009,Autopistas de peaje,0,9,Subtotal Andalucía,7,129,68,758
Andalucía,Cádiz,2009,Autopistas libres y autovías,4,9,Subtotal Andalucía,64,129,281,758
Andalucía,Cádiz,2009,Carreteras convencionales,5,9,Subtotal Andalucía,58,129,409,758
Andalucía,Cádiz,2010,Autopistas de peaje,1,18,Subtotal Andalucía,6,117,77,686
Andalucía,Cádiz,2010,Autopistas libres y autovías,7,18,Subtotal Andalucía,55,117,251,686
Andalucía,Cádiz,2010,Carreteras convencionales,10,18,Subtotal Andalucía,56,117,358,686
Andalucía,Cádiz,2011,Autopistas de peaje,1,12,Subtotal Andalucía,8,84,30,571
Andalucía,Cádiz,2011,Autopistas libres y autovías,2,12,Subtotal Andalucía,33,84,218,571
Andalucía,Cádiz,2011,Carreteras convencionales,9,12,Subtotal Andalucía,43,84,323,571
Andalucía,Cádiz,2012,Autopistas de peaje,0,8,Subtotal Andalucía,7,84,44,515
Andalucía,Cádiz,2012,Autopistas libres y autovías,3,8,Subtotal Andalucía,46,84,197,515
Andalucía,Cádiz,2012,Carreteras convencionales,5,8,Subtotal Andalucía,31,84,274,515
Andalucía,Cádiz,2013,Autopistas de peaje,0,11,Subtotal Andalucía,3,62,41,444
Andalucía,Cádiz,2013,Autopistas libres y autovías,6,11,Subtotal Andalucía,33,62,177,444
Andalucía,Cádiz,2013,Carreteras convencionales,5,11,Subtotal Andalucía,26,62,226,444
Andalucía,Cádiz,2014,Autopistas de peaje,1,13,Subtotal Andalucía,5,78,42,421
Andalucía,Cádiz,2014,Autopistas libres y autovías,7,13,Subtotal Andalucía,39,78,159,421
Andalucía,Cádiz,2014,Carreteras convencionales,5,13,Subtotal Andalucía,34,78,220,421
Andalucía,Cádiz,2015,Autopistas de peaje,1,6,Subtotal Andalucía,1,40,33,402
Andalucía,Cádiz,2015,Autopistas libres y autovías,3,6,Subtotal Andalucía,23,40,153,402
Andalucía,Cádiz,2015,Carreteras convencionales,2,6,Subtotal Andalucía,16,40,216,402
Andalucía,Cádiz,2016,Autopistas de peaje,0,6,Subtotal Andalucía,0,55,42,432
Andalucía,Cádiz,2016,Autopistas libres y autovías,2,6,Subtotal Andalucía,28,55,156,432
Andalucía,Cádiz,2016,Carreteras convencionales,4,6,Subtotal Andalucía,27,55,234,432
Andalucía,Cádiz,2017,Autopistas de peaje,0,3,Subtotal Andalucía,2,55,34,405
Andalucía,Cádiz,2017,Autopistas libres y autovías,2,3,Subtotal Andalucía,38,55,164,405
Andalucía,Cádiz,2017,Carreteras convencionales,1,3,Subtotal Andalucía,15,55,207,405
Andalucía,Cádiz,2018,Autopistas de peaje,2,14,Subtotal Andalucía,3,77,45,495
Andalucía,Cádiz,2018,Autopistas libres y autovías,2,14,Subtotal Andalucía,33,77,196,495
Andalucía,Cádiz,2018,Carreteras convencionales,10,14,Subtotal Andalucía,41,77,254,495
Andalucía,Cádiz,2019,Autopistas de peaje,0,8,Subtotal Andalucía,3,67,41,408
Andalucía,Cádiz,2019,Autopistas libres y autovías,6,8,Subtotal Andalucía,42,67,201,408
Andalucía,Cádiz,2019,Carreteras convencionales,2,8,Subtotal Andalucía,22,67,166,408
Andalucía,Cádiz,2020,Autopistas de peaje,0,5,Subtotal Andalucía,4,57,18,338
Andalucía,Cádiz,2020,Autopistas libres y autovías,1,5,Subtotal Andalucía,33,57,156,338
Andalucía,Cádiz,2020,Carreteras convencionales,4,5,Subtotal Andalucía,20,57,164,338
Andalucía,Cádiz,2021,Autopistas de peaje,0,12,Subtotal Andalucía,7,88,29,386
Andalucía,Cádiz,2021,Autopistas libres y autovías,8,12,Subtotal Andalucía,50,88,191,386
Andalucía,Cádiz,2021,Carreteras convencionales,4,12,Subtotal Andalucía,31,88,166,386
Andalucía,Cádiz,2022,Autopistas de peaje,0,6,Subtotal Andalucía,0,78,23,455
Andalucía,Cádiz,2022,Autopistas libres y autovías,3,6,Subtotal Andalucía,51,78,244,455
Andalucía,Cádiz,2022,Carreteras convencionales,3,6,Subtotal Andalucía,27,78,188,455
Andalucía,Córdoba,2008,Autopistas de peaje,0,15,Subtotal Andalucía,18,150,93,874
