year,infoAcciden,ambito,nombreVehiculo,valor,Textbox22,Textbox19,Textbox23
2000,Víctimas mortales,Vías interurbanas,Motocicletas y ciclomotores,565,4.706,866,5.776
2000,Víctimas mortales,Vías interurbanas,Turismos,3.022,4.706,3.294,5.776
2000,Víctimas mortales,Vías interurbanas,Camiones y furgonetas,492,4.706,516,5.776
2000,Víctimas mortales,Vías interurbanas,Autobuses,44,4.706,44,5.776
2000,Víctimas mortales,Vías interurbanas,Bicicletas,61,4.706,84,5.776
2000,Víctimas mortales,Vías interurbanas,VMP,,4.706,,5.776
2000,Víctimas mortales,Vías interurbanas,Otros vehículos,71,4.706,74,5.776
2000,Víctimas mortales,Vías interurbanas,Peatones,451,4.706,898,5.776
2000,Víctimas mortales,Vías urbanas,Motocicletas y ciclomotores,301,1.070,866,5.776
2000,Víctimas mortales,Vías urbanas,Turismos,272,1.070,3.294,5.776
2000,Víctimas mortales,Vías urbanas,Camiones y furgonetas,24,1.070,516,5.776
2000,Víctimas mortales,Vías urbanas,Autobuses,0,1.070,44,5.776
2000,Víctimas mortales,Vías urbanas,Bicicletas,23,1.070,84,5.776
2000,Víctimas mortales,Vías urbanas,VMP,,1.070,,5.776
2000,Víctimas mortales,Vías urbanas,Otros vehículos,3,1.070,74,5.776
2000,Víctimas mortales,Vías urbanas,Peatones,447,1.070,898,5.776
2000,Heridos hospitalizados,Vías interurbanas,Motocicletas y ciclomotores,3.207,18.524,7.323,27.764
2000,Heridos hospitalizados,Vías interurbanas,Turismos,12.077,18.524,14.255,27.764
2000,Heridos hospitalizados,Vías interurbanas,Camiones y furgonetas,1.872,18.524,2.062,27.764
2000,Heridos hospitalizados,Vías interurbanas,Autobuses,112,18.524,149,27.764
2000,Heridos hospitalizados,Vías interurbanas,Bicicletas,294,18.524,475,27.764
2000,Heridos hospitalizados,Vías interurbanas,VMP,,18.524,,27.764
2000,Heridos hospitalizados,Vías interurbanas,Otros vehículos,159,18.524,212,27.764
2000,Heridos hospitalizados,Vías interurbanas,Peatones,803,18.524,3.288,27.764
2000,Heridos hospitalizados,Vías urbanas,Motocicletas y ciclomotores,4.116,9.240,7.323,27.764
2000,Heridos hospitalizados,Vías urbanas,Turismos,2.178,9.240,14.255,27.764
2000,Heridos hospitalizados,Vías urbanas,Camiones y furgonetas,190,9.240,2.062,27.764
2000,Heridos hospitalizados,Vías urbanas,Autobuses,37,9.240,149,27.764
2000,Heridos hospitalizados,Vías urbanas,Bicicletas,181,9.240,475,27.764
2000,Heridos hospitalizados,Vías urbanas,VMP,,9.240,,27.764
2000,Heridos hospitalizados,Vías urbanas,Otros vehículos,53,9.240,212,27.764
2000,Heridos hospitalizados,Vías urbanas,Peatones,2.485,9.240,3.288,27.764
2001,Víctimas mortales,Vías interurbanas,Motocicletas y ciclomotores,532,4.543,833,5.517
2001,Víctimas mortales,Vías interurbanas,Turismos,2.903,4.543,3.148,5.517
2001,Víctimas mortales,Vías interurbanas,Camiones y furgonetas,455,4.543,474,5.517
2001,Víctimas mortales,Vías interurbanas,Autobuses,47,4.543,50,5.517
2001,Víctimas mortales,Vías interurbanas,Bicicletas,78,4.543,100,5.517
2001,Víctimas mortales,Vías interurbanas,VMP,,4.543,,5.517
2001,Víctimas mortales,Vías interurbanas,Otros vehículos,59,4.543,66,5.517
2001,Víctimas mortales,Vías interurbanas,Peatones,469,4.543,846,5.517
2001,Víctimas mortales,Vías urbanas,Motocicletas y ciclomotores,301,974,833,5.517
2001,Víctimas mortales,Vías urbanas,Turismos,245,974,3.148,5.517
2001,Víctimas mortales,Vías urbanas,Camiones y furgonetas,19,974,474,5.517
2001,Víctimas mortales,Vías urbanas,Autobuses,3,974,50,5.517
2001,Víctimas mortales,Vías urbanas,Bicicletas,22,974,100,5.517
2001,Víctimas mortales,Vías urbanas,VMP,,974,,5.517
2001,Víctimas mortales,Vías urbanas,Otros vehículos,7,974,66,5.517
