Provincias;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2022;2.416.033
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2021;2.382.448
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2020;2.360.667
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2019;2.305.303
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2018;2.288.096
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2017;2.293.337
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2016;2.316.981
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2015;2.354.598
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2014;2.409.523
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2013;2.476.109
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2012;2.538.898
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2011;2.611.257
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2010;2.695.223
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2009;2.785.825
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2008;2.839.138
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2007;2.854.845
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2006;2.936.593
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2005;3.031.633
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2004;3.093.882
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2003;3.202.594
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2002;3.249.598
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2001;3.288.805
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;2000;3.310.735
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;1999;3.354.877
TOTAL ESPAÑA;20-24 años;TOTAL;Ambos sexos;1998;3.353.725
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2022;2.525.639
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2021;2.548.736
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2020;2.583.973
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2019;2.566.361
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2018;2.557.214
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2017;2.567.258
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2016;2.616.684
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2015;2.695.630
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2014;2.808.721
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2013;2.953.136
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2012;3.115.511
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2011;3.274.267
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2010;3.444.435
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2009;3.601.767
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2008;3.714.625
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2007;3.736.671
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2006;3.817.716
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2005;3.842.364
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2004;3.787.336
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2003;3.739.772
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2002;3.626.324
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2001;3.493.759
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;2000;3.375.782
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;1999;3.284.084
TOTAL ESPAÑA;25-29 años;TOTAL;Ambos sexos;1998;3.255.862
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2022;2.751.935
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2021;2.786.314
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2020;2.839.403
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2019;2.860.390
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2018;2.909.061
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2017;3.012.895
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2016;3.154.713
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2015;3.328.153
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2014;3.520.289
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2013;3.746.504
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2012;3.924.173
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2011;4.059.412
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2010;4.143.573
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2009;4.190.045
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2008;4.136.460
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2007;4.022.221
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2006;3.947.739
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2005;3.850.837
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2004;3.707.232
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2003;3.631.764
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2002;3.515.143
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2001;3.405.724
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;2000;3.321.008
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;1999;3.264.850
TOTAL ESPAÑA;30-34 años;TOTAL;Ambos sexos;1998;3.245.232
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2022;3.132.328
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2021;3.250.538
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2020;3.391.000
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2019;3.492.600
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2018;3.624.705
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2017;3.754.948
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2016;3.888.273
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2015;3.989.889
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2014;4.077.813
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2013;4.125.053
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2012;4.136.270
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2011;4.095.793
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2010;4.046.119
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2009;3.987.219
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2008;3.914.570
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2007;3.806.556
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2006;3.748.977
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2005;3.682.374
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2004;3.603.286
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2003;3.543.043
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2002;3.415.251
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2001;3.291.772
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;2000;3.192.124
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;1999;3.085.977
TOTAL ESPAÑA;35-39 años;TOTAL;Ambos sexos;1998;3.024.704
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2022;3.816.395
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2021;3.923.707
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2020;3.996.212
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2019;4.013.566
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2018;3.992.655
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2017;3.973.640
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2016;3.941.053
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2015;3.909.699
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2014;3.885.075
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2013;3.891.290
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2012;3.885.959
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2011;3.853.445
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2010;3.819.461
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2009;3.799.492
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2008;3.728.828
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2007;3.606.689
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2006;3.524.506
TOTAL ESPAÑA;40-44 años;TOTAL;Ambos sexos;2005;3.443.083
